,tahun,provinsi,kota,kecamatan,kelurahan,usia,gender,total
125,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,65-69,Laki-laki,333
126,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,70-74,Laki-laki,191
127,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,75+,Laki-laki,224
128,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,00-04,Laki-laki,694
129,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,05-09,Laki-laki,825
130,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,01-10,Laki-laki,781
131,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,15-19,Laki-laki,844
132,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,20-24,Laki-laki,835
133,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,25-29,Laki-laki,816
134,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,30-34,Laki-laki,790
135,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,35-39,Laki-laki,878
136,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,40-44,Laki-laki,858
137,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,45-49,Laki-laki,778
138,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,50-54,Laki-laki,744
139,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,55-59,Laki-laki,646
140,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,60-64,Laki-laki,494
141,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,65-69,Laki-laki,314
142,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,70-74,Laki-laki,223
143,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,75+,Laki-laki,214
144,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,00-04,Laki-laki,674
145,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,05-09,Laki-laki,712
146,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,01-10,Laki-laki,629
147,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,15-19,Laki-laki,636
148,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,20-24,Laki-laki,764
149,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,25-29,Laki-laki,881
150,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,30-34,Laki-laki,851
151,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,35-39,Laki-laki,740
152,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,40-44,Laki-laki,712
153,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,45-49,Laki-laki,639
154,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,50-54,Laki-laki,608
155,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,55-59,Laki-laki,489
156,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,60-64,Laki-laki,424
157,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,65-69,Laki-laki,272
158,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,70-74,Laki-laki,151
159,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,75+,Laki-laki,175
160,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,00-04,Laki-laki,343
161,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,05-09,Laki-laki,426
162,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,01-10,Laki-laki,477
163,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,15-19,Laki-laki,495
164,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,20-24,Laki-laki,492
165,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,25-29,Laki-laki,480
166,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,30-34,Laki-laki,487
167,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,35-39,Laki-laki,490
168,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,40-44,Laki-laki,495
169,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,45-49,Laki-laki,455
170,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,50-54,Laki-laki,476
171,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,55-59,Laki-laki,390
172,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,60-64,Laki-laki,295
173,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,65-69,Laki-laki,220
174,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,70-74,Laki-laki,137
175,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,75+,Laki-laki,119
176,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,00-04,Laki-laki,862
177,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,05-09,Laki-laki,1020
178,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,01-10,Laki-laki,996
179,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,15-19,Laki-laki,1006
180,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,20-24,Laki-laki,992
181,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,25-29,Laki-laki,940
182,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,30-34,Laki-laki,943
183,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,35-39,Laki-laki,1079
184,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,40-44,Laki-laki,983
185,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,45-49,Laki-laki,899
186,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,50-54,Laki-laki,858
187,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,55-59,Laki-laki,688
188,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,60-64,Laki-laki,495
189,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,65-69,Laki-laki,328
190,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,70-74,Laki-laki,180
191,2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,75+,Laki-laki,158
192,2021,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,00-04,Laki-laki,365
